Function,Configuration,Mean,Std,Min,Max,Median
Rotated Elliptic,Large,8571497.417959604,2183206.5891613583,5198149.184610264,11454342.48648984,9142928.320810597
Rotated Elliptic,Medium,14151885.979838703,7197276.747505403,8672476.468494203,28266279.485156883,10541362.932294399
Rotated Elliptic,Small,7980744.5557390805,4241744.36170951,4031031.8160354737,16166827.041276012,6802023.439984891
Shifted Rotated Weierstrass,Large,181.4965202422122,2.7901794464568614,180.02067589271786,187.07355029539465,180.067328908807
Shifted Rotated Weierstrass,Medium,180.11890701655028,0.12927102662147813,180.03395989975712,180.3759831384852,180.06689957488
Shifted Rotated Weierstrass,Small,181.44629464427894,0.8568474657127368,180.0086199171283,182.39607742758614,181.7142493457607
