Function,Configuration,Mean,Std,Min,Max,Median
Rotated Elliptic,Large,5954102.180550947,2394809.7336852085,3584803.3148180596,10121413.445873631,6050180.428178062
Rotated Elliptic,Medium,10322256.520347647,4703334.6743810205,5796767.559725647,17972728.583968107,8311848.659564789
Rotated Elliptic,Small,7719966.182596077,5869754.384957107,671725.1689535584,18238594.33134703,5448434.563444402
Shifted Rotated Weierstrass,Large,182.14937825225374,3.3920789640315943,180.024968702091,188.8403099995072,180.3042573797635
Shifted Rotated Weierstrass,Medium,180.8908776842345,1.6182843848525093,180.02155548356174,184.1258853788334,180.11694942361257
Shifted Rotated Weierstrass,Small,181.68994986925,1.4195568282397413,180.0134695623508,183.2795919399696,182.09580589629587
